group,name,num_samples,accuracy
overall,overall,1061,0.43355325164938735
answer_type,closed,416,0.6730769230769231
answer_type,open,645,0.27906976744186046
q_type,Abnormality,150,0.4666666666666667
q_type,Color,34,0.5294117647058824
q_type,KG,148,0.23648648648648649
q_type,Modality,108,0.7314814814814815
q_type,Organ,253,0.5731225296442688
q_type,Plane,58,0.43103448275862066
q_type,Position,186,0.3548387096774194
q_type,Quantity,52,0.0
q_type,Shape,7,0.2857142857142857
q_type,Size,65,0.3076923076923077
